Region,Total Homes Sold,Adjusted Average Homes Sold,Adjusted Average New Listings,Adjusted Pending Sales
"Robeson County, NC",46.875179340028694,8.065997130559541,9.866571018651364,3.268292682926829
"Rochelle, IL metro area",45.75,7.982336956521739,8.872282608695652,5.327445652173913
"Rochester, MN metro area",357.7676120768527,63.261090301978506,67.49677846131166,50.58573075105151
"Rochester, NY metro area",1321.0714932126698,234.41241144160267,258.981232249317,203.10338314433298
"Rock County, MN",12.58883826879271,1.9669703872437359,2.2414578587699316,1.438496583143508
"Rock County, NE",1.0,1.0,1.0,1.0
"Rock County, WI",263.0261780104712,46.75785340314136,51.41361256544503,36.04973821989529
"Rock Island County, IL",196.90025906735752,34.92227979274612,33.174870466321245,18.283678756476682
"Rock Springs, WY metro area",58.72460732984293,10.185340314136125,9.966492146596858,5.12041884816754
"Rockbridge County, VA",27.938997821350764,4.525054466230936,4.823529411764706,1.7516339869281046
"Rockcastle County, KY",12.383369330453563,1.990280777537797,2.308855291576674,1.429805615550756
"Rockford, IL metro area",453.84785435630687,80.91287386215865,90.31859557867361,65.26918075422627
"Rockingham County, NC",95.36498855835241,16.762013729977117,19.437070938215104,11.720823798627002
"Rockingham County, NH",556.6561085972851,98.53484162895927,110.24615384615385,77.84253393665158
"Rockingham County, NH metro area",768.21875,136.27587080485037,153.23415887421228,107.28287071912216
"Rockingham County, VA",105.93835616438356,18.538160469667318,20.655577299412915,11.669275929549903
"Rockingham, NC metro area",32.191605839416056,5.439781021897811,6.478102189781022,2.8047445255474455
"Rockland County, NY",322.30312837108954,57.2168284789644,70.75728155339806,40.558791801510246
"Rockport, TX metro area",40.91005291005291,7.074074074074074,9.847883597883598,4.134920634920635
"Rocky Mount, NC metro area",152.588693957115,26.89571150097466,31.116959064327485,16.191033138401558
